country,contributors_count,contributors_percentage_total
United States,26,13.4
India,18,9.28
United Kingdom,7,3.61
Germany,5,2.58
Japan,5,2.58
Canada,3,1.55
China,2,1.03
Australia,1,0.52
France,1,0.52
Netherlands,1,0.52
