experience_level,total_prs,approved_prs,approval_rate,approval_percentage,contributors_count
Initial,39,11,0.28205128205128205,28.21,12
Intermediate,564,284,0.5035460992907801,50.35,175
Advanced,1286,1106,0.8600311041990669,86.0,7
